,Initials,Country  ,Context,Example,Stock decline,Sp. distributional shifts,Ocean acidification,Extreme climatic events,Uncertainty (ecological),Market changes,Regulation change,Consolidation,Globalization,Uncertainty (social),Community,Implemented,Anticipatory,Responsive,Both,Internat.,Nat. govt.,Region. govt.,Local govt.,NGO,Uni.,Community assoc.,Business coop.,Business,Individual,,Reduce stressor,Reduce sensitivity,Cope,No change,Take advantage,Source,Notes,Confidence,,,,,
1,PJW,USA,CC,MPAs,,,,,1,,,,,,N,Y,,,,,x,,,,,,,,,,,x,,,,"Doney et al. 2014, Holland and Brazee 1996","National Marine Sanctuary System, Moratorium on Arctic Fishing",5,,,,,
2,PJW,USA,CC,Restoration,1,,,,,,,,,,N,N,,,,,x,,,,,,,,,,x,x,,,,Doney et al. 2014,of key habitat,5,,,,,
3,PJW,USA,CC,Reductions in other stressors,1,,,,,,,,,,N,N,,,x,,x,,,,,,,,,,x,x,,,,Doney et al. 2014,including pollution ,5,,,,,
4,PJW,USA,CC,Investments in new gear or innovations,1,,,,,,,,,,N,Y,,,x,,,,,,,,,x,,,,x,,,,"Doney et al. 2014, Johnson et al. 2012, Johnson 2016","Changing, location or water sources",5,,,,,
5,PJW,USA,CC,Diversify livelihoods,1,,2,,,,,,,,N,N,,,x,,,,,,,,,,x,,,x,,,,"Doney et al. 2014, Johnson et al. 2012, Ocean AcidificationWhat It Means to Alaskans and How We Can Adapt, Johnson 2016","Including investments in tourism and aquaculture (Johnson 2012), also include in sources ",5,,,,,
6,PJW,USA,CC,Diversify livelihoods,1,,2,,,,,,,,N,N,x,,,,,,,,,,,x,,,,x,,,,"Doney et al. 2014, Johnson et al. 2012, Ocean AcidificationWhat It Means to Alaskans and How We Can Adapt, Johnson 2016",Diversifying species,,,,,,
7,PJW,USA,CC,Diversify livelihoods,1,,2,,,,,,,,N,N,,x,,,,,,,,,,x,,,,,x,,,"Doney et al. 2014, Ocean AcidificationWhat It Means to Alaskans and How We Can Adapt, Johnson 2016",Switch species,,,,,,
8,PJW,USA,CC,Transition out of fisheries,1,,,,,,,,,,N,N,,x,,,,,,,,,,,x,,,,x,,,Doney et al. 2014,Leave fishery,,,,,,
9,PJW,USA,CC,Investments to help transition out of fisheries,1,,,,,,,,,,N,N,,x,,,x,x,,,,,,,,,,x,,,,"Johnson 2012, Johnson 2016",Permit / vessel buybacks,,,,,,
10,PJW,USA,CC,Transition out of fisheries,1,,,,,,,,,,N,N,,x,,,x,x,,,,,,,,,,x,,,,"Johnson 2012, Johnson 2016",Reduce subsidies,,,,,,
11,PJW,USA,CC,MPAs,1,,,,,,,,,,N,N,x,,,,x,x,,,,,,,,,,x,,,,", Johnson 2016",,,,,,,
12,PJW,USA,CC,Research  ,,,,1,,,,,,,N,N,x,,,,x,x,,,,,,,,,,x,,,,"Johnson 2012, Johnson 2016",,,,,,,
13,PJW,USA,CC,Research,,,,,,,,,,1,N,N,x,,,,x,x,,,,,,,,,,x,,,,"Johnson 2012, Johnson 2016",,,,,,,
14,PJW,USA,CC,Education,,,,,,,,,,1,N,N,x,,,,x,x,,,,,,,,,,x,,,,"Johnson 2012, Johnson 2016",,,,,,,
15,PJW,USA,CC,Diversifying livelihoods,,,,,,,,,,1,Y,N,x,,,,x,x,,,,,,,,,,x,,,,"Johnson 2012, Johnson 2016",Including investments in tourism and aquaculture (Johnson 2012),,,,,,
16,PJW,USA,CC,Disaster risk management,1,,,,,,,,,,Y,N,x,,,,x,x,,,,,,,,,,x,,,,"Johnson 2012, Johnson 2016",suggestion,,,,,,
17,PJW,USA,CC,Investment in new gear or innovations,,,,,1,,,,,,N,N,x,,,,,,,,,,,x,,,,,,,x,"Doney et al. 2014, Johnson et al. 2012, Johnson 2016","Includes larger boats so can take advantage of new or distant fisheries, flexible processing operations to take advantage of emergent resources, aquaculture business invests in developing heat-resistant strains",,,,,,
18,PJW,USA,CC,Insurance  ,,,,,,,,,,1,N,N,x,,,,,,,,,,,x,,,,x,,,,"Johnson 2012, Johnson 2016",,,,,,,
19,PJW,USA,CC,Cooperatives,,,,,,,,,,1,Y,N,x,,,,,,,,,x,,,,,,x,,,,"Johnson 2012, Johnson 2016",,,,,,,
