rep,ID,Initials,Country  ,Context,Example,Stock decline,Sp. distributional shifts,Ocean acidification,Extreme climatic events,Uncertainty (ecological),Market changes,Regulation change,Consolidation,Globalization,Uncertainty (social),Community,Implemented,Anticipatory,Responsive,Both,,Internat.,Nat. govt.,Region. govt.,Local govt.,NGO,Uni.,Community assoc.,Business coop.,Business,Individual,,Reduce stressor,Reduce sensitivity,Cope,No change,Take advantage,Source,,
a,40,PJW,US-AK,N,Community-based rights,,,,,,,,1,,,Y,Y,x,,,,,,x,,,,,,,,,x,,,,,Himes-Cornell and Hoelting 2015,,
a,40,PJW,US-AK,N,Economic/community development,,,,,,,,1,2,,Y,Y,x,,,,,,,,x,,x,,,,,x,,,,,Himes-Cornell and Hoelting 2015,,
a,40,PJW,US-AK,N,Community-based rights,,,,,,,,1,,,Y,Y,x,,,,,,,,x,,x,,,,,x,,,,,Himes-Cornell and Hoelting 2015,,
a,40,PJW,US-AK,N,Fair trade laws,,,,,,,,1,,,Y,Y,x,,,,,,x,,,,,,,,,x,,,,,Himes-Cornell and Hoelting 2015,,
a,40,PJW,US-AK,N,"Financial assistance or investment for entering, transferring, or restructuring fishing businesses",,,,,,,,1,,,Y,Y,,x,,,,,x,,,,,,,,,,x,,,,Himes-Cornell and Hoelting 2015,,
a,40,PJW,US-AK,N,Diversifying livelihoods,,,,,,,,1,,,Y,Y,,,x,,,,,,x,,x,,,,,,x,,,,Himes-Cornell and Hoelting 2015,,
a,40,PJW,US-AK,N,Permit/license/quota banks,,,,,,,,1,,,Y,Y,,,x,,,,,,x,,x,,,,,x,,,,,Himes-Cornell and Hoelting 2015,,
a,40,PJW,US-AK,N,"Financial assistance or investment for entering, transferring, or restructuring fishing businesses",,,,,,,,1,,,Y,Y,,x,,,,,,,x,,x,,,,,,x,,,,"Himes-Cornell and Hoelting 2015, Jain and Garderet 2011",,
a,40,PJW,US-AK,N,Economic/community development,,,,,,,,1,,,Y,Y,,x,,,,,,,x,,x,,,,,,x,,,,Jain and Garderet 2011,,
a,40,PJW,US-AK,N,Investments to improve value chain,,,,,,,,,,1,Y,Y,x,,,,,,,,x,,,,,,,,x,,,,Himes-Cornell and Hoelting 2015,,
