Example,CC_Community focused_Implemented,CC_Community focused_Not implemented,CC_Not community focused_Implemented,CC_Not community focused_Not implemented,N_Community focused_Implemented,N_Community focused_Not implemented,N_Not community focused_Implemented,N_Not community focused_Not implemented
Adaptation programs,0.19,0.07,0.07,0.1,NA,NA,NA,NA
Community-based rights,NA,NA,NA,NA,0.07,NA,NA,NA
Cooperatives,0.05,NA,NA,NA,0.07,NA,NA,NA
Coordination and organization,0.07,0.1,NA,0.03,0.06,0.13,NA,0.1
Diversify livelihoods,0.04,0.11,NA,NA,0.05,0.1,NA,NA
Dynamic ocean management,NA,NA,0.04,NA,NA,NA,0.03,NA
Economic/community development,NA,NA,NA,NA,0.08,0.11,NA,NA
Education,0.14,0.09,0.03,0.03,0.05,0.09,NA,NA
Enforcement,NA,NA,0.09,0.14,NA,0.08,0.24,0.12
"Financial assistance or investment for entering,",0.04,NA,NA,NA,0.06,0.04,NA,NA
Financial assistance to help survive bad fishing years,NA,NA,NA,NA,NA,NA,0.03,NA
Individual property rights,NA,NA,NA,NA,NA,NA,0.03,NA
International agreements,NA,NA,0.03,NA,NA,NA,0.03,NA
Investment in new gear or innovations,0.05,0.09,0.09,0.11,NA,0.05,0.08,0.1
Investments to improve value chain,NA,0.04,NA,NA,0.08,0.06,NA,0.08
Market diversification,NA,0.07,NA,NA,0.05,0.04,NA,0.06
MPAs,NA,NA,0.05,0.04,NA,NA,0.04,0.06
Reductions in other stressors,NA,NA,0.05,0.05,NA,NA,NA,0.04
Research,0.14,0.16,0.39,0.25,0.07,0.08,0.18,0.19
Restoration,0.05,NA,0.05,0.04,NA,NA,NA,0.04
Review programs / regulations,0.06,0.04,NA,0.08,NA,NA,0.06,0.05
Transition out of fisheries,NA,0.04,NA,NA,NA,NA,0.07,NA
