Example,Context,Implemented,Proportion Top-down,Proportion Bottom-up,Proportion NGO,Proportion Individual
Adaptation programs,CC,N,0.613,0.258,0.065,0.065
Adaptation programs,CC,Y,0.634,0.317,0.024,0.024
Adaptation programs,N,Y,0.6,0.2,0,0.2
Community-based rights,CC,N,0.5,0.5,0,0
Community-based rights,CC,Y,0.333,0.667,0,0
Community-based rights,N,N,0.6,0.2,0.2,0
Community-based rights,N,Y,0.424,0.455,0.091,0.03
Cooperatives,CC,N,0.5,0.3,0.1,0.1
Cooperatives,CC,Y,0.375,0.5,0,0.125
Cooperatives,N,N,0.333,0.5,0.167,0
Cooperatives,N,Y,0.111,0.417,0.278,0.194
Coordination and organization,CC,N,0.571,0.286,0.079,0.063
Coordination and organization,CC,Y,0.667,0.25,0.083,0
Coordination and organization,N,N,0.455,0.291,0.145,0.109
Coordination and organization,N,Y,0.4,0.275,0.1,0.225
Disaster funds,CC,N,1,0,0,0
Disaster funds,CC,Y,1,0,0,0
Disaster funds,N,Y,0.833,0.167,0,0
Disaster risk management,CC,N,0.8,0,0,0.2
Disaster risk management,CC,Y,0.333,0,0.333,0.333
Disaster risk management,N,N,1,0,0,0
Disaster risk management,N,Y,0.833,0.167,0,0
Diversify livelihoods,CC,N,0.429,0.086,0,0.486
Diversify livelihoods,CC,Y,0.222,0.111,0,0.667
Diversify livelihoods,N,N,0.333,0.19,0.095,0.381
Diversify livelihoods,N,Y,0.407,0.333,0.037,0.222
Dynamic ocean management,CC,N,0.762,0.095,0.143,0
Dynamic ocean management,CC,Y,0.667,0.222,0.111,0
Dynamic ocean management,N,N,1,0,0,0
Dynamic ocean management,N,Y,0.333,0.095,0.286,0.286
Economic/community development,CC,N,0.4,0.6,0,0
Economic/community development,N,N,0.6,0.28,0.08,0.04
Economic/community development,N,Y,0.281,0.375,0.125,0.219
Education,CC,N,0.679,0.196,0.071,0.054
Education,CC,Y,0.562,0.25,0.156,0.031
Education,N,N,0.391,0.348,0.174,0.087
Education,N,Y,0.6,0.32,0.08,0
Enforcement,CC,N,0.886,0.091,0,0.023
Enforcement,CC,Y,0.7,0.2,0.1,0
Enforcement,N,N,0.76,0.2,0,0.04
Enforcement,N,Y,0.938,0.05,0,0.013
Fair trade laws,CC,N,1,0,0,0
Fair trade laws,N,Y,1,0,0,0
"Financial assistance or investment for entering, transferring, or restructuring fishing businesses",CC,N,0.8,0.2,0,0
"Financial assistance or investment for entering, transferring, or restructuring fishing businesses",CC,Y,0.714,0.286,0,0
"Financial assistance or investment for entering, transferring, or restructuring fishing businesses",N,N,0.583,0.25,0.083,0.083
"Financial assistance or investment for entering, transferring, or restructuring fishing businesses",N,Y,0.708,0.167,0.083,0.042
Financial assistance to help survive bad fishing years,CC,N,0,0.5,0.5,0
Financial assistance to help survive bad fishing years,N,N,0.6,0,0,0.4
