"","Country","CC_Implemented_Community focused","CC_Implemented_Not community focused","CC_Not implemented_Community focused","CC_Not implemented_Not community focused","N_Implemented_Community focused","N_Implemented_Not community focused","N_Not implemented_Community focused","N_Not implemented_Not community focused"
"1","AUS",13,29,12,19,49,117,3,7
"2","CAN",13,11,37,24,22,1,8,NA
"3","EU",NA,NA,3,5,NA,NA,NA,NA
"4","FAROES",NA,NA,NA,NA,NA,8,2,1
"5","FIN",NA,7,3,22,10,2,6,7
"6","FIN-AX",NA,1,1,NA,6,9,NA,1
"7","GER",NA,7,2,10,4,13,3,5
"8","ICE",NA,NA,NA,NA,3,1,2,2
"9","INT",1,NA,5,15,NA,NA,NA,NA
"10","IT",12,4,1,12,33,21,19,21
"11","NL",NA,NA,1,16,3,7,6,2
"12","NOR",NA,NA,NA,NA,NA,5,NA,NA
"13","NZ",2,6,3,NA,5,7,1,1
"14","SW",NA,NA,NA,12,1,3,NA,1
"15","UK",5,13,10,115,NA,1,NA,NA
"16","US-AK",1,2,18,3,16,10,NA,NA
"17","US-HA",3,3,2,4,9,NA,2,NA
"18","US-NE",4,3,14,27,24,11,27,4
"19","US-NW",2,7,9,6,22,5,6,5
"20","US-SE",5,10,12,27,5,12,11,9
"21","US-SW",4,6,1,11,2,1,NA,NA
"22","USA",13,19,11,71,22,4,17,7
