Context,Example,Implemented,Anticipatory,Responsive,Both,all,id,Prop_Anticipatory,Prop_Responsive,Prop_Both
CC,Community-based rights,N,NA,NA,NA,NA,NA,NA,NA,NA
CC,Community-based rights,Y,NA,NA,NA,NA,NA,NA,NA,NA
N,Community-based rights,N,NA,NA,NA,NA,NA,NA,NA,NA
N,Community-based rights,Y,0,0,1,1,NA,0,0,1
CC,Disaster risk management,N,NA,NA,NA,NA,NA,NA,NA,NA
CC,Disaster risk management,Y,1,0,0,1,2,1,0,0
N,Disaster risk management,N,NA,NA,NA,NA,NA,NA,NA,NA
N,Disaster risk management,Y,3,0,0,3,2,1,0,0
CC,Economic/community development,N,NA,NA,NA,NA,NA,NA,NA,NA
N,Economic/community development,N,1,0,0,1,NA,1,0,0
N,Economic/community development,Y,NA,NA,NA,NA,NA,NA,NA,NA
CC,Fair trade laws,N,NA,NA,NA,NA,NA,NA,NA,NA
N,Fair trade laws,Y,NA,NA,NA,NA,NA,NA,NA,NA
CC,Individual property rights,N,NA,NA,NA,NA,NA,NA,NA,NA
CC,Individual property rights,Y,NA,NA,NA,NA,NA,NA,NA,NA
N,Individual property rights,N,NA,NA,NA,NA,NA,NA,NA,NA
N,Individual property rights,Y,0,0,2,2,NA,0,0,1
CC,Insurance,N,1,0,0,1,3,1,0,0
CC,Insurance,Y,NA,NA,NA,NA,NA,NA,NA,NA
N,Insurance,N,NA,NA,NA,NA,NA,NA,NA,NA
N,Insurance,Y,NA,NA,NA,NA,NA,NA,NA,NA
CC,Permit/license/quota banks,Y,NA,NA,NA,NA,NA,NA,NA,NA
N,Permit/license/quota banks,N,NA,NA,NA,NA,NA,NA,NA,NA
N,Permit/license/quota banks,Y,1,0,0,1,NA,1,0,0
CC,International agreements,N,NA,NA,NA,NA,NA,NA,NA,NA
CC,International agreements,Y,1,0,0,1,4,1,0,0
N,International agreements,N,NA,NA,NA,NA,NA,NA,NA,NA
N,International agreements,Y,1,0,4,5,4,0.2,0,0.8
CC,Cooperatives,N,NA,NA,NA,NA,NA,NA,NA,NA
CC,Cooperatives,Y,NA,NA,NA,NA,NA,NA,NA,NA
N,Cooperatives,N,NA,NA,NA,NA,NA,NA,NA,NA
