Example,CC_Implemented,CC_Not implemented,N_Implemented,N_Not implemented
Adaptation programs,NA,0,NA,NA
Community-based rights,NA,NA,NA,NA
Cooperatives,NA,NA,NA,NA
Coordination and organization,NA,NA,NA,NA
Disaster funds,NA,NA,NA,NA
Disaster risk management,NA,NA,NA,NA
Diversify livelihoods,NA,NA,0,NA
Dynamic ocean management,NA,NA,NA,NA
Economic/community development,NA,NA,NA,NA
Education,NA,NA,0,NA
Enforcement,NA,NA,0,NA
Fair trade laws,NA,NA,NA,NA
"Financial assistance or investment for entering, transferring, or restructuring fishing businesses",NA,NA,0,NA
Financial assistance to help survive bad fishing years,NA,NA,NA,NA
Financial assistance to help transition out of fishery,NA,NA,NA,NA
Individual property rights,NA,NA,NA,NA
Insurance,NA,NA,NA,NA
International agreements,NA,NA,NA,NA
Investment in new gear or innovations,0,NA,0,NA
Investments to improve value chain,NA,NA,0,NA
Market diversification,NA,NA,NA,NA
MPAs,NA,NA,0,NA
Permit/license/quota banks,NA,NA,NA,NA
Reductions in other stressors,NA,NA,NA,NA
Research,NA,NA,0,NA
Restoration,NA,NA,0,NA
Review programs / regulations,NA,NA,NA,0
Transition out of fisheries,NA,NA,NA,NA
