Example,CC_Implemented,CC_Not implemented,N_Implemented,N_Not implemented
Adaptation programs,0,1,NA,NA
Community-based rights,NA,NA,0,NA
Cooperatives,NA,NA,NA,0
Coordination and organization,NA,NA,NA,NA
Disaster funds,NA,NA,NA,NA
Disaster risk management,NA,NA,NA,NA
Diversify livelihoods,NA,0,0,0
Dynamic ocean management,NA,NA,NA,NA
Economic/community development,NA,NA,NA,0
Education,NA,NA,1,1
Enforcement,NA,1,NA,0.5
Fair trade laws,NA,NA,NA,NA
"Financial assistance or investment for entering, transferring, or restructuring fishing businesses",NA,NA,NA,NA
Financial assistance to help survive bad fishing years,NA,NA,NA,NA
Financial assistance to help transition out of fishery,NA,NA,NA,NA
Individual property rights,NA,NA,NA,NA
Insurance,NA,NA,NA,NA
International agreements,1,NA,NA,NA
Investment in new gear or innovations,0.33,0.29,0,0
Investments to improve value chain,NA,NA,0,1
Market diversification,NA,0,0,0
MPAs,NA,NA,NA,NA
Permit/license/quota banks,NA,NA,NA,NA
Reductions in other stressors,1,0,NA,NA
Research,NA,0.33,NA,NA
Restoration,NA,1,1,NA
Review programs / regulations,NA,0,NA,NA
Transition out of fisheries,NA,NA,NA,NA
