Example,CC_Implemented,CC_Not implemented,N_Implemented,N_Not implemented
Adaptation programs,NA,NA,NA,NA
Community-based rights,NA,NA,NA,NA
Cooperatives,NA,NA,NA,NA
Coordination and organization,NA,NA,NA,NA
Disaster funds,NA,NA,NA,NA
Disaster risk management,NA,NA,NA,NA
Diversify livelihoods,NA,0.5,0,NA
Dynamic ocean management,NA,1,0,NA
Economic/community development,NA,NA,NA,NA
Education,NA,NA,0,NA
Enforcement,0.5,0,0,0
Fair trade laws,NA,NA,NA,NA
"Financial assistance or investment for entering, transferring, or restructuring fishing businesses",NA,NA,NA,NA
Financial assistance to help survive bad fishing years,NA,NA,0,NA
Financial assistance to help transition out of fishery,NA,NA,NA,NA
Individual property rights,NA,NA,NA,NA
Insurance,NA,NA,NA,NA
International agreements,NA,NA,0,NA
Investment in new gear or innovations,0,0.5,0,0
Investments to improve value chain,NA,1,0.33,0
Market diversification,NA,1,NA,0
MPAs,0.5,NA,0,0
Permit/license/quota banks,NA,NA,NA,NA
Reductions in other stressors,0,NA,0,NA
Research,1,0.5,0,NA
Restoration,NA,NA,0,0
Review programs / regulations,NA,1,NA,NA
Transition out of fisheries,NA,NA,0,0
