Example,CC_Implemented,CC_Not implemented,N_Implemented,N_Not implemented
Adaptation programs,0.5,0.75,0,NA
Community-based rights,NA,NA,0.5,NA
Cooperatives,NA,NA,1,NA
Coordination and organization,1,NA,0,0
Disaster funds,0,NA,NA,NA
Disaster risk management,NA,NA,NA,NA
Diversify livelihoods,NA,0,0,0
Dynamic ocean management,NA,NA,NA,NA
Economic/community development,NA,NA,0.33,0
Education,NA,NA,0,0
Enforcement,0,0,0.33,0.22
Fair trade laws,NA,NA,NA,NA
"Financial assistance or investment for entering, transferring, or restructuring fishing businesses",0.5,NA,NA,0
Financial assistance to help survive bad fishing years,NA,NA,NA,0
Financial assistance to help transition out of fishery,NA,NA,NA,0
Individual property rights,NA,NA,0,NA
Insurance,1,NA,NA,NA
International agreements,0,NA,NA,NA
Investment in new gear or innovations,NA,0.5,0.25,0.25
Investments to improve value chain,NA,0,0.17,NA
Market diversification,NA,0,NA,NA
MPAs,0,NA,0,0
Permit/license/quota banks,NA,NA,NA,NA
Reductions in other stressors,0,0.5,0,0.5
Research,0,NA,0.17,0.64
Restoration,0,NA,0,NA
Review programs / regulations,NA,0,0,NA
Transition out of fisheries,NA,NA,0,NA
