Example,CC_Implemented,CC_Not implemented,N_Implemented,N_Not implemented
Adaptation programs,0,0.75,NA,NA
Community-based rights,NA,NA,0,0
Cooperatives,NA,NA,NA,0
Coordination and organization,NA,1,NA,NA
Disaster funds,NA,NA,NA,NA
Disaster risk management,NA,NA,NA,NA
Diversify livelihoods,NA,0,0,0
Dynamic ocean management,NA,NA,1,NA
Economic/community development,NA,NA,NA,0
Education,NA,NA,0.25,1
Enforcement,NA,1,0.33,0.5
Fair trade laws,NA,NA,NA,NA
"Financial assistance or investment for entering, transferring, or restructuring fishing businesses",NA,NA,0,NA
Financial assistance to help survive bad fishing years,NA,NA,NA,NA
Financial assistance to help transition out of fishery,NA,NA,0.5,NA
Individual property rights,NA,NA,1,0
Insurance,NA,NA,NA,NA
International agreements,1,NA,1,NA
Investment in new gear or innovations,0.25,0.29,0,0
Investments to improve value chain,NA,NA,0.2,0.5
Market diversification,NA,0,0,0
MPAs,NA,1,0.5,NA
Permit/license/quota banks,NA,NA,NA,NA
Reductions in other stressors,1,0.33,NA,NA
Research,NA,0.78,0.25,1
Restoration,NA,1,0.5,NA
Review programs / regulations,NA,0,0,0
Transition out of fisheries,NA,NA,1,NA
