Example,CC_Implemented,CC_Not implemented,N_Implemented,N_Not implemented
Adaptation programs,NA,NA,1,NA
Community-based rights,NA,NA,NA,NA
Cooperatives,NA,NA,NA,NA
Coordination and organization,NA,1,NA,1
Disaster funds,NA,NA,NA,NA
Disaster risk management,NA,NA,NA,NA
Diversify livelihoods,NA,NA,NA,1
Dynamic ocean management,NA,NA,NA,NA
Economic/community development,NA,NA,NA,NA
Education,NA,NA,NA,0
Enforcement,NA,NA,NA,NA
Fair trade laws,NA,NA,NA,NA
"Financial assistance or investment for entering, transferring, or restructuring fishing businesses",NA,NA,0,NA
Financial assistance to help survive bad fishing years,NA,NA,NA,NA
Financial assistance to help transition out of fishery,NA,NA,NA,NA
Individual property rights,NA,1,0,NA
Insurance,NA,1,NA,NA
International agreements,NA,NA,NA,NA
Investment in new gear or innovations,NA,0.86,0,0
Investments to improve value chain,NA,1,1,0.5
Market diversification,NA,NA,NA,1
MPAs,NA,0,NA,NA
Permit/license/quota banks,NA,NA,NA,NA
Reductions in other stressors,NA,NA,0,NA
Research,NA,1,NA,0
Restoration,NA,1,0.5,NA
Review programs / regulations,NA,NA,NA,NA
Transition out of fisheries,NA,NA,0,NA
