Example,CC_Implemented,CC_Not implemented,N_Implemented,N_Not implemented
Adaptation programs,NA,0,NA,NA
Community-based rights,NA,NA,0,NA
Cooperatives,NA,NA,NA,NA
Coordination and organization,NA,1,NA,NA
Disaster funds,NA,NA,NA,NA
Disaster risk management,NA,NA,NA,NA
Diversify livelihoods,NA,NA,NA,NA
Dynamic ocean management,0.5,NA,NA,NA
Economic/community development,NA,NA,NA,NA
Education,NA,NA,NA,NA
Enforcement,1,NA,0,NA
Fair trade laws,NA,NA,NA,NA
"Financial assistance or investment for entering, transferring, or restructuring fishing businesses",NA,NA,NA,NA
Financial assistance to help survive bad fishing years,NA,NA,NA,NA
Financial assistance to help transition out of fishery,NA,NA,NA,NA
Individual property rights,NA,NA,NA,NA
Insurance,NA,NA,NA,NA
International agreements,NA,NA,1,NA
Investment in new gear or innovations,NA,NA,0,NA
Investments to improve value chain,NA,NA,NA,NA
Market diversification,NA,NA,NA,NA
MPAs,NA,NA,NA,NA
Permit/license/quota banks,NA,NA,NA,NA
Reductions in other stressors,NA,NA,NA,NA
Research,0.75,NA,0.33,NA
Restoration,NA,NA,NA,NA
Review programs / regulations,1,1,NA,NA
Transition out of fisheries,NA,NA,0,NA
