Example,CC_Implemented,CC_Not implemented,N_Implemented,N_Not implemented
Adaptation programs,0.33,0.75,0.5,NA
Community-based rights,NA,NA,0.5,NA
Cooperatives,NA,NA,1,NA
Coordination and organization,1,1,0,0.25
Disaster funds,0,NA,NA,NA
Disaster risk management,NA,1,NA,NA
Diversify livelihoods,1,0.6,0,0.33
Dynamic ocean management,0,1,0.5,NA
Economic/community development,NA,1,0.33,0
Education,0.4,1,0,0
Enforcement,0.33,0.92,0.27,0.2
Fair trade laws,NA,1,NA,NA
"Financial assistance or investment for entering, transferring, or restructuring fishing businesses",0.33,1,0,0
Financial assistance to help survive bad fishing years,NA,NA,0,0
Financial assistance to help transition out of fishery,NA,NA,NA,0
Individual property rights,NA,1,0,NA
Insurance,1,1,NA,NA
International agreements,0,1,0,NA
Investment in new gear or innovations,0,0.82,0.14,0.17
Investments to improve value chain,NA,0.75,0.3,0.33
Market diversification,0.5,0.88,NA,0.33
MPAs,0.4,0.8,0,0
Permit/license/quota banks,NA,NA,NA,NA
Reductions in other stressors,0.2,0.89,0,0.5
Research,0.27,0.98,0.14,0.6
Restoration,0.5,1,0.25,0
Review programs / regulations,0,0.93,0,NA
Transition out of fisheries,NA,NA,0,0
