Example,CC_Implemented,CC_Not implemented,N_Implemented,N_Not implemented
Adaptation programs,0,NA,NA,NA
Community-based rights,NA,NA,NA,NA
Cooperatives,NA,NA,NA,NA
Coordination and organization,NA,1,NA,NA
Disaster funds,NA,NA,NA,NA
Disaster risk management,NA,1,NA,NA
Diversify livelihoods,1,1,NA,NA
Dynamic ocean management,0,1,1,NA
Economic/community development,NA,1,NA,NA
Education,0.4,1,NA,NA
Enforcement,NA,1,NA,NA
Fair trade laws,NA,NA,NA,NA
"Financial assistance or investment for entering, transferring, or restructuring fishing businesses",0,1,NA,NA
Financial assistance to help survive bad fishing years,NA,NA,NA,NA
Financial assistance to help transition out of fishery,NA,NA,NA,NA
Individual property rights,NA,1,NA,NA
Insurance,NA,1,NA,NA
International agreements,NA,1,NA,NA
Investment in new gear or innovations,NA,1,NA,NA
Investments to improve value chain,NA,NA,NA,NA
Market diversification,0.5,1,NA,NA
MPAs,0.5,1,NA,NA
Permit/license/quota banks,NA,NA,NA,NA
Reductions in other stressors,1,1,NA,NA
Research,0.22,1,NA,NA
Restoration,1,1,NA,NA
Review programs / regulations,0,1,NA,NA
Transition out of fisheries,NA,NA,NA,NA
