Example,CC_Implemented,CC_Not implemented,N_Implemented,N_Not implemented
Adaptation programs,NA,1,NA,NA
Community-based rights,NA,NA,0,NA
Cooperatives,NA,1,0.4,NA
Coordination and organization,NA,1,NA,NA
Disaster funds,NA,NA,NA,NA
Disaster risk management,NA,1,NA,NA
Diversify livelihoods,NA,1,1,NA
Dynamic ocean management,NA,NA,1,NA
Economic/community development,NA,1,0.25,NA
Education,1,1,0.5,NA
Enforcement,NA,NA,NA,NA
Fair trade laws,NA,NA,NA,NA
"Financial assistance or investment for entering, transferring, or restructuring fishing businesses",NA,NA,NA,NA
Financial assistance to help survive bad fishing years,NA,NA,0,NA
Financial assistance to help transition out of fishery,NA,NA,NA,NA
Individual property rights,NA,NA,0,NA
Insurance,NA,1,NA,NA
International agreements,NA,NA,NA,NA
Investment in new gear or innovations,NA,1,NA,NA
Investments to improve value chain,NA,1,0,NA
Market diversification,NA,1,0,NA
MPAs,NA,NA,NA,NA
Permit/license/quota banks,NA,NA,NA,NA
Reductions in other stressors,NA,NA,NA,NA
Research,1,1,0.5,NA
Restoration,NA,NA,NA,NA
Review programs / regulations,NA,1,1,NA
Transition out of fisheries,NA,1,NA,NA
