Example,CC_Implemented,CC_Not implemented,N_Implemented,N_Not implemented
Adaptation programs,NA,NA,NA,NA
Community-based rights,1,NA,0,NA
Cooperatives,NA,NA,0,NA
Coordination and organization,NA,1,0,0
Disaster funds,NA,NA,0,NA
Disaster risk management,NA,NA,0,NA
Diversify livelihoods,NA,NA,NA,NA
Dynamic ocean management,NA,NA,NA,NA
Economic/community development,NA,NA,NA,NA
Education,NA,1,0,NA
Enforcement,NA,1,NA,0
Fair trade laws,NA,NA,NA,NA
"Financial assistance or investment for entering, transferring, or restructuring fishing businesses",NA,NA,NA,NA
Financial assistance to help survive bad fishing years,NA,NA,NA,NA
Financial assistance to help transition out of fishery,NA,NA,NA,NA
Individual property rights,NA,NA,NA,NA
Insurance,NA,NA,NA,NA
International agreements,1,NA,NA,NA
Investment in new gear or innovations,NA,NA,NA,NA
Investments to improve value chain,NA,NA,NA,NA
Market diversification,NA,NA,NA,NA
MPAs,1,NA,0,NA
Permit/license/quota banks,NA,NA,NA,NA
Reductions in other stressors,1,1,NA,NA
Research,1,NA,0,NA
Restoration,1,NA,NA,NA
Review programs / regulations,NA,1,NA,NA
Transition out of fisheries,NA,NA,NA,NA
