Example,CC_Implemented,CC_Not implemented,N_Implemented,N_Not implemented
Adaptation programs,NA,1,NA,NA
Community-based rights,NA,NA,0,NA
Cooperatives,1,1,0.5,1
Coordination and organization,NA,1,0,0.5
Disaster funds,NA,NA,NA,NA
Disaster risk management,NA,1,NA,1
Diversify livelihoods,0,1,NA,0.33
Dynamic ocean management,NA,NA,1,1
Economic/community development,NA,1,0.25,0.67
Education,NA,1,0,0.67
Enforcement,NA,NA,NA,NA
Fair trade laws,NA,NA,NA,NA
"Financial assistance or investment for entering, transferring, or restructuring fishing businesses",NA,NA,1,NA
Financial assistance to help survive bad fishing years,NA,NA,0.33,1
Financial assistance to help transition out of fishery,NA,NA,0,NA
Individual property rights,NA,NA,NA,0
Insurance,NA,1,NA,NA
International agreements,NA,NA,NA,1
Investment in new gear or innovations,1,1,0,0.5
Investments to improve value chain,NA,NA,0,1
Market diversification,NA,1,0,0.67
MPAs,NA,1,NaN,NA
Permit/license/quota banks,NA,NA,0.33,NA
Reductions in other stressors,1,1,NA,0
Research,1,1,0,1
Restoration,NA,1,NA,0.5
Review programs / regulations,NA,1,0,NA
Transition out of fisheries,NA,0,0,NA
