Example,CC_Implemented,CC_Not implemented,N_Implemented,N_Not implemented
Adaptation programs,NA,1,NA,NA
Community-based rights,NA,NA,NA,NA
Cooperatives,NA,NA,0,1
Coordination and organization,NA,1,NA,1
Disaster funds,NA,NA,NA,NA
Disaster risk management,NA,NA,NA,NA
Diversify livelihoods,0,1,0,1
Dynamic ocean management,0,1,NA,NA
Economic/community development,NA,NA,0,1
Education,1,1,NA,1
Enforcement,1,1,NA,NA
Fair trade laws,NA,NA,NA,NA
"Financial assistance or investment for entering, transferring, or restructuring fishing businesses",NA,NA,NA,1
Financial assistance to help survive bad fishing years,NA,NA,0,NA
Financial assistance to help transition out of fishery,NA,NA,0,1
Individual property rights,NA,NA,0,NA
Insurance,NA,NA,NA,NA
International agreements,NA,NA,NA,1
Investment in new gear or innovations,NA,1,NA,1
Investments to improve value chain,0.5,NA,0,1
Market diversification,NA,1,0,NA
MPAs,1,0.67,NA,1
Permit/license/quota banks,NA,NA,NA,NA
Reductions in other stressors,1,1,NA,1
Research,1,1,0,1
Restoration,0.67,1,0,1
Review programs / regulations,NA,0.8,NA,1
Transition out of fisheries,NA,NA,0,NA
