Example,CC_Implemented,CC_Not implemented,N_Implemented,N_Not implemented
Adaptation programs,NA,NA,NA,NA
Community-based rights,NA,NA,NA,NA
Cooperatives,0,NA,NA,NA
Coordination and organization,1,1,NA,NA
Disaster funds,NA,NA,NA,NA
Disaster risk management,NA,NA,NA,NA
Diversify livelihoods,NA,NA,NA,NA
Dynamic ocean management,1,NA,NA,NA
Economic/community development,NA,NA,0,NA
Education,1,NA,NA,NA
Enforcement,NA,NA,NA,NA
Fair trade laws,NA,NA,NA,NA
"Financial assistance or investment for entering, transferring, or restructuring fishing businesses",NA,NA,NA,NA
Financial assistance to help survive bad fishing years,NA,NA,NA,NA
Financial assistance to help transition out of fishery,NA,NA,NA,NA
Individual property rights,NA,NA,0,NA
Insurance,NA,NA,NA,NA
International agreements,NA,NA,NA,NA
Investment in new gear or innovations,0,NA,NA,NA
Investments to improve value chain,NA,NA,NA,NA
Market diversification,NA,NA,0,NA
MPAs,NA,1,NA,NA
Permit/license/quota banks,NA,NA,NA,NA
Reductions in other stressors,NA,NA,NA,NA
Research,1,NA,NA,NA
Restoration,NA,1,NA,NA
Review programs / regulations,NA,1,NA,NA
Transition out of fisheries,0,NA,NA,NA
