Example,CC_Implemented,CC_Not implemented,N_Implemented,N_Not implemented
Adaptation programs,1,NA,NA,NA
Community-based rights,NA,NA,1,0
Cooperatives,1,1,NA,NA
Coordination and organization,1,1,NA,0
Disaster funds,NA,NA,0,NA
Disaster risk management,NA,1,0,NA
Diversify livelihoods,1,0.6,0.25,0
Dynamic ocean management,1,1,NA,NA
Economic/community development,NA,NA,0.5,0
Education,1,1,NA,0
Enforcement,NA,NA,NA,NA
Fair trade laws,NA,NA,1,NA
"Financial assistance or investment for entering, transferring, or restructuring fishing businesses",NA,NA,0,0
Financial assistance to help survive bad fishing years,NA,NA,NA,0
Financial assistance to help transition out of fishery,NA,1,NA,0
Individual property rights,NA,NA,NA,NA
Insurance,NA,1,NA,1
International agreements,1,1,NA,NA
Investment in new gear or innovations,0,1,1,0
Investments to improve value chain,NA,NA,0.5,0.5
Market diversification,NA,1,0.5,1
MPAs,1,1,NA,NA
Permit/license/quota banks,NA,NA,0,NA
Reductions in other stressors,1,0.9,0,NA
Research,1,1,0,0
Restoration,1,1,0,NA
Review programs / regulations,NA,1,NA,0
Transition out of fisheries,NA,0,0,0
