Example,CC_Community focused_Implemented,CC_Community focused_Not implemented,CC_Not community focused_Implemented,CC_Not community focused_Not implemented,N_Community focused_Implemented,N_Community focused_Not implemented,N_Not community focused_Implemented,N_Not community focused_Not implemented
Adaptation programs,0.12,NA,0.07,0.18,0.02,NA,NA,0.09
Community-based rights,NA,NA,NA,NA,0.02,NA,NA,NA
Cooperatives,NA,NA,NA,NA,0.04,NA,NA,NA
Coordination and organization,0.12,0.15,NA,0.03,0.18,NA,0.01,0.09
Disaster funds,NA,0.08,NA,NA,NA,NA,NA,NA
Disaster risk management,NA,NA,0.01,NA,NA,NA,0.02,NA
Diversify livelihoods,NA,0.15,0.01,0.01,NA,NA,NA,NA
Dynamic ocean management,NA,0.08,NA,NA,NA,NA,NA,NA
Economic/community development,NA,NA,NA,NA,NA,0.33,NA,NA
Education,0.06,0.15,NA,NA,NA,NA,NA,NA
Enforcement,NA,0.08,0.13,0.21,0.08,0.33,0.37,0.36
"Financial assistance or investment for entering,",NA,0.08,NA,NA,0.16,0.33,NA,NA
Individual property rights,NA,NA,NA,NA,0.04,NA,NA,NA
International agreements,0.06,NA,NA,NA,NA,NA,0.03,NA
Investment in new gear or innovations,NA,NA,0.09,0.14,NA,NA,0.09,NA
Investments to improve value chain,0.06,0.23,0.03,0.03,NA,NA,NA,0.09
Market diversification,NA,NA,0.03,0.02,NA,NA,NA,NA
MPAs,NA,NA,0.02,NA,0.08,NA,0.02,NA
Reductions in other stressors,NA,NA,NA,NA,NA,NA,0.02,NA
Research,0.44,NA,0.54,0.25,0.14,NA,0.22,0.27
Restoration,NA,NA,0.02,0.02,NA,NA,NA,NA
Review programs / regulations,0.12,NA,NA,0.07,0.08,NA,0.11,0.09
Transition out of fisheries,NA,NA,NA,NA,NA,NA,0.08,NA
