Context,Community,Implemented,Example,N_Example,total,Prop_Example,id
CC,N,N,Research,8,24,0.3333333333333333,1
CC,N,N,Adaptation programs,3,24,0.125,2
CC,N,N,Review programs / regulations,3,24,0.125,3
CC,N,N,Investment in new gear or innovations,2,24,0.08333333333333333,4
CC,N,N,Market diversification,2,24,0.08333333333333333,5
CC,N,N,Reductions in other stressors,2,24,0.08333333333333333,6
CC,N,N,Coordination and organization,1,24,0.041666666666666664,7
CC,N,N,International agreements,1,24,0.041666666666666664,8
CC,N,N,Restoration,1,24,0.041666666666666664,9
CC,N,N,Transition out of fisheries,1,24,0.041666666666666664,10
CC,N,Y,Adaptation programs,4,10,0.4,1
CC,N,Y,Diversify livelihoods,1,10,0.1,2
CC,N,Y,Enforcement,1,10,0.1,3
CC,N,Y,Investments to improve value chain,1,10,0.1,4
CC,N,Y,Permit/license/quota banks,1,10,0.1,5
CC,N,Y,Research,1,10,0.1,6
CC,N,Y,Review programs / regulations,1,10,0.1,7
CC,Y,N,Research,12,26,0.46153846153846156,1
CC,Y,N,Adaptation programs,3,26,0.11538461538461539,2
CC,Y,N,Coordination and organization,3,26,0.11538461538461539,3
CC,Y,N,Education,2,26,0.07692307692307693,4
CC,Y,N,Transition out of fisheries,2,26,0.07692307692307693,5
CC,Y,N,Diversify livelihoods,1,26,0.038461538461538464,6
CC,Y,N,Enforcement,1,26,0.038461538461538464,7
CC,Y,N,Investment in new gear or innovations,1,26,0.038461538461538464,8
CC,Y,N,Market diversification,1,26,0.038461538461538464,9
CC,Y,Y,Adaptation programs,4,13,0.3076923076923077,1
CC,Y,Y,Education,3,13,0.23076923076923078,2
CC,Y,Y,Coordination and organization,2,13,0.15384615384615385,3
CC,Y,Y,Investment in new gear or innovations,2,13,0.15384615384615385,4
CC,Y,Y,Reductions in other stressors,1,13,0.07692307692307693,5
CC,Y,Y,Review programs / regulations,1,13,0.07692307692307693,6
N,N,Y,Enforcement,1,1,1,1
N,Y,N,Education,2,8,0.25,1
N,Y,N,Investment in new gear or innovations,2,8,0.25,2
N,Y,N,Coordination and organization,1,8,0.125,3
N,Y,N,Investments to improve value chain,1,8,0.125,4
N,Y,N,Market diversification,1,8,0.125,5
N,Y,N,Permit/license/quota banks,1,8,0.125,6
N,Y,Y,Community-based rights,2,22,0.09090909090909091,1
N,Y,Y,Cooperatives,2,22,0.09090909090909091,2
N,Y,Y,"Financial assistance or investment for entering, transferring, or restructuring fishing businesses",2,22,0.09090909090909091,3
N,Y,Y,Investments to improve value chain,2,22,0.09090909090909091,4
N,Y,Y,Permit/license/quota banks,2,22,0.09090909090909091,5
N,Y,Y,Economic/community development,1,22,0.045454545454545456,6
N,Y,Y,Education,1,22,0.045454545454545456,7
N,Y,Y,Enforcement,1,22,0.045454545454545456,8
N,Y,Y,Financial assistance to help survive bad fishing years,1,22,0.045454545454545456,9
N,Y,Y,Financial assistance to help transition out of fishery,1,22,0.045454545454545456,10
