Example,CC_Community focused_Not implemented,CC_Not community focused_Implemented,N_Community focused_Implemented,N_Not community focused_Implemented,N_Not community focused_Not implemented
Adaptation programs,1,NA,NA,NA,NA
Diversify livelihoods,NA,NA,0.17,0.11,NA
Education,NA,NA,0.33,0.11,NA
Enforcement,NA,NA,NA,0.22,NA
"Financial assistance or investment for entering,",NA,NA,0.17,NA,NA
Investment in new gear or innovations,NA,1,NA,0.11,NA
Investments to improve value chain,NA,NA,NA,0.11,NA
MPAs,NA,NA,NA,0.11,NA
Research,NA,NA,0.17,0.22,NA
Restoration,NA,NA,0.17,NA,NA
Review programs / regulations,NA,NA,NA,NA,1
