Example,CC_Community focused_Not implemented,CC_Not community focused_Implemented,CC_Not community focused_Not implemented,N_Community focused_Implemented,N_Community focused_Not implemented,N_Not community focused_Implemented,N_Not community focused_Not implemented
Adaptation programs,NA,0.14,0.14,NA,NA,NA,NA
Community-based rights,NA,NA,NA,0.1,NA,NA,NA
Cooperatives,NA,NA,NA,NA,0.17,NA,NA
Diversify livelihoods,0.33,NA,0.09,NA,0.33,0.5,0.14
Economic/community development,NA,NA,NA,NA,0.17,NA,0.14
Education,NA,NA,NA,0.1,NA,NA,0.14
Enforcement,NA,NA,0.05,NA,0.17,NA,0.14
International agreements,NA,0.29,NA,NA,NA,NA,NA
Investment in new gear or innovations,0.33,0.43,0.27,0.3,0.17,0.5,0.14
Investments to improve value chain,NA,NA,NA,0.2,NA,NA,0.14
Market diversification,NA,NA,0.14,0.2,NA,NA,0.14
Reductions in other stressors,NA,0.14,0.09,NA,NA,NA,NA
Research,0.33,NA,0.09,NA,NA,NA,NA
Restoration,NA,NA,0.09,0.1,NA,NA,NA
Review programs / regulations,NA,NA,0.05,NA,NA,NA,NA
