Example,CC_Community focused_Not implemented,CC_Not community focused_Implemented,CC_Not community focused_Not implemented,N_Community focused_Implemented,N_Community focused_Not implemented,N_Not community focused_Implemented,N_Not community focused_Not implemented
Diversify livelihoods,0.5,NA,0.1,NA,NA,0.08,NA
Dynamic ocean management,NA,NA,0.1,NA,NA,0.08,NA
Education,NA,NA,NA,NA,NA,0.08,NA
Enforcement,NA,0.29,0.1,NA,NA,0.15,0.2
Financial assistance to help survive bad fishing years,NA,NA,NA,0.25,NA,NA,NA
International agreements,NA,NA,NA,NA,NA,0.08,NA
Investment in new gear or innovations,0.5,0.14,0.1,0.25,0.33,0.08,NA
Investments to improve value chain,NA,NA,0.2,0.5,NA,0.08,0.2
Market diversification,NA,NA,0.1,NA,0.33,NA,0.2
MPAs,NA,0.29,NA,NA,NA,0.08,0.2
Reductions in other stressors,NA,0.14,NA,NA,NA,0.08,NA
Research,NA,0.14,0.2,NA,NA,0.08,NA
Restoration,NA,NA,NA,NA,NA,NA,0.2
Review programs / regulations,NA,NA,0.1,NA,NA,NA,NA
Transition out of fisheries,NA,NA,NA,NA,0.33,NA,NA
