Example,CC_Community focused_Implemented,CC_Community focused_Not implemented,CC_Not community focused_Not implemented
Cooperatives,NA,NA,0.07
Disaster funds,NA,NA,0.07
Diversify livelihoods,NA,0.2,0.13
Financial assistance to help transition out of fishery,NA,0.2,NA
Insurance,1,0.2,NA
International agreements,NA,NA,0.13
Investment in new gear or innovations,NA,NA,0.13
Market diversification,NA,NA,0.13
MPAs,NA,NA,0.13
Research,NA,0.2,0.07
Review programs / regulations,NA,NA,0.13
Transition out of fisheries,NA,0.2,NA
