Example,CC_Community focused_Implemented,CC_Community focused_Not implemented,CC_Not community focused_Implemented,CC_Not community focused_Not implemented,N_Community focused_Implemented,N_Community focused_Not implemented,N_Not community focused_Implemented,N_Not community focused_Not implemented
Adaptation programs,0.18,NA,NA,0.33,0.03,NA,NA,NA
Community-based rights,NA,NA,NA,NA,0.06,NA,NA,NA
Coordination and organization,0.09,NA,NA,NA,0.12,0.11,0.05,0.05
Disaster funds,NA,NA,0.25,NA,NA,NA,NA,NA
Diversify livelihoods,NA,NA,NA,0.08,0.09,0.11,0.05,NA
Economic/community development,NA,NA,NA,NA,0.09,0.05,NA,NA
Education,NA,NA,NA,NA,0.06,0.05,0.05,NA
Enforcement,0.09,NA,NA,0.08,0.12,0.32,0.24,0.14
"Financial assistance or investment for entering,",0.18,NA,NA,NA,NA,0.05,NA,NA
Financial assistance to help survive bad fishing years,NA,NA,NA,NA,NA,0.05,NA,NA
Financial assistance to help transition out of fishery,NA,NA,NA,NA,NA,0.05,NA,NA
Individual property rights,NA,NA,NA,NA,NA,NA,0.05,NA
Insurance,NA,NA,0.25,NA,NA,NA,NA,NA
International agreements,0.09,NA,NA,NA,NA,NA,NA,NA
Investment in new gear or innovations,NA,1,NA,0.08,NA,NA,0.14,0.19
Investments to improve value chain,NA,NA,NA,0.08,0.15,NA,0.05,NA
Market diversification,NA,NA,NA,0.08,NA,NA,NA,NA
MPAs,0.09,NA,NA,NA,0.06,NA,0.1,0.05
Reductions in other stressors,0.09,NA,0.5,0.17,NA,NA,NA,0.1
Research,0.09,NA,NA,NA,0.06,0.21,0.19,0.48
Restoration,0.09,NA,NA,NA,NA,NA,0.05,NA
Review programs / regulations,NA,NA,NA,0.08,NA,NA,NA,NA
