Example,CC_Community focused_Implemented,CC_Community focused_Not implemented,CC_Not community focused_Implemented,CC_Not community focused_Not implemented,N_Community focused_Implemented,N_Community focused_Not implemented,N_Not community focused_Implemented,N_Not community focused_Not implemented
Adaptation programs,0.24,0.08,0.1,NA,NA,NA,NA,NA
Community-based rights,0.02,NA,NA,NA,0.06,NA,0.09,NA
Cooperatives,0.09,0.03,NA,NA,0.11,NA,0.09,0.04
Coordination and organization,0.07,0.12,NA,0.08,NA,0.15,NA,0.24
Disaster funds,NA,NA,NA,NA,NA,NA,0.05,NA
Diversify livelihoods,0.07,0.1,0.05,0.03,0.06,0.07,NA,0.04
Dynamic ocean management,NA,NA,0.05,NA,0.04,NA,0.05,NA
Economic/community development,NA,NA,NA,NA,0.12,0.11,NA,NA
Education,0.18,0.11,0.05,0.06,0.06,0.11,NA,0.04
Enforcement,0.02,NA,NA,NA,NA,NA,NA,NA
"Financial assistance or investment for entering,",NA,NA,NA,NA,NA,0.04,NA,NA
Financial assistance to help survive bad fishing years,NA,NA,NA,NA,NA,NA,0.16,0.04
Financial assistance to help transition out of fishery,NA,NA,NA,NA,NA,NA,0.05,NA
Individual property rights,NA,NA,NA,NA,NA,NA,0.09,NA
Insurance,NA,NA,NA,NA,NA,NA,NA,0.04
International agreements,NA,NA,0.05,NA,NA,NA,NA,NA
Investment in new gear or innovations,0.09,0.05,0.07,0.05,NA,0.06,NA,0.08
Investments to improve value chain,NA,NA,NA,NA,0.07,0.06,NA,NA
Market diversification,NA,0.05,NA,0.03,0.09,0.06,NA,0.08
MPAs,NA,NA,0.08,0.1,NA,NA,NA,0.12
Permit/license/quota banks,NA,NA,NA,NA,0.06,NA,NA,NA
Reductions in other stressors,NA,NA,0.08,0.12,NA,NA,NA,NA
Research,0.04,0.2,0.22,0.18,0.06,0.06,0.11,NA
Restoration,0.07,NA,0.12,0.09,NA,0.04,0.07,0.08
Review programs / regulations,NA,0.04,NA,0.12,NA,NA,NA,NA
Transition out of fisheries,NA,0.05,NA,NA,NA,NA,0.09,NA
