Example,CC_Community focused_Not implemented,CC_Not community focused_Implemented,CC_Not community focused_Not implemented,N_Community focused_Implemented,N_Community focused_Not implemented,N_Not community focused_Implemented,N_Not community focused_Not implemented
Adaptation programs,0.25,0.12,0.09,NA,NA,NA,NA
Community-based rights,NA,NA,NA,0.2,0.1,NA,NA
Cooperatives,NA,NA,NA,NA,0.1,NA,NA
Coordination and organization,NA,NA,0.03,NA,NA,NA,NA
Diversify livelihoods,0.25,NA,0.06,0.05,0.3,0.07,0.08
Dynamic ocean management,NA,NA,NA,NA,NA,0.11,NA
Economic/community development,NA,NA,NA,NA,0.2,NA,0.08
Education,NA,NA,NA,0.15,NA,0.04,0.08
Enforcement,NA,NA,0.09,NA,0.1,0.11,0.08
Fair trade laws,NA,NA,NA,NA,NA,0.04,NA
"Financial assistance or investment for entering,",NA,NA,NA,0.1,NA,NA,NA
Financial assistance to help transition out of fishery,NA,NA,NA,NA,NA,0.07,NA
Individual property rights,NA,NA,NA,NA,NA,NA,0.08
International agreements,NA,0.25,NA,NA,NA,NA,NA
Investment in new gear or innovations,0.25,0.5,0.18,0.15,0.1,0.11,0.08
Investments to improve value chain,NA,NA,NA,0.1,0.1,0.11,0.25
Market diversification,NA,NA,0.09,0.1,NA,NA,0.08
MPAs,NA,NA,0.03,NA,NA,0.07,NA
Reductions in other stressors,NA,0.12,0.09,NA,NA,NA,NA
Research,0.25,NA,0.24,0.05,NA,0.11,0.08
Restoration,NA,NA,0.09,0.1,NA,NA,NA
Review programs / regulations,NA,NA,NA,NA,NA,NA,0.08
