Example,CC_Community focused_Not implemented,CC_Not community focused_Not implemented,N_Community focused_Implemented,N_Community focused_Not implemented,N_Not community focused_Implemented,N_Not community focused_Not implemented
Adaptation programs,NA,NA,NA,NA,0.14,NA
Coordination and organization,NA,0.06,NA,0.17,NA,NA
Diversify livelihoods,NA,NA,NA,0.17,NA,NA
Education,NA,NA,NA,0.17,NA,NA
"Financial assistance or investment for entering,",NA,NA,NA,NA,0.14,NA
Individual property rights,NA,0.19,NA,NA,0.14,NA
Insurance,NA,0.06,NA,NA,NA,NA
Investment in new gear or innovations,1,0.38,0.33,NA,NA,0.5
Investments to improve value chain,NA,0.06,NA,0.33,0.14,NA
Market diversification,NA,NA,NA,NA,NA,0.5
MPAs,NA,0.06,NA,NA,NA,NA
Reductions in other stressors,NA,NA,0.33,NA,0.14,NA
Research,NA,0.06,NA,0.17,NA,NA
Restoration,NA,0.12,NA,NA,0.29,NA
Transition out of fisheries,NA,NA,0.33,NA,NA,NA
