Example,CC_Community focused_Implemented,CC_Community focused_Not implemented,CC_Not community focused_Implemented,N_Community focused_Implemented,N_Community focused_Not implemented,N_Not community focused_Implemented,N_Not community focused_Not implemented
Adaptation programs,NA,0.33,NA,NA,NA,NA,NA
Community-based rights,NA,NA,NA,0.6,NA,NA,NA
Coordination and organization,NA,0.33,NA,NA,1,NA,NA
Dynamic ocean management,NA,NA,0.33,NA,NA,NA,NA
Enforcement,NA,NA,0.17,NA,NA,0.29,NA
International agreements,NA,NA,NA,NA,NA,0.14,NA
Investment in new gear or innovations,NA,NA,NA,0.2,NA,NA,NA
MPAs,NA,NA,NA,NA,NA,0.14,NA
Research,0.5,NA,0.5,NA,NA,0.43,NA
Review programs / regulations,0.5,0.33,NA,NA,NA,NA,1
Transition out of fisheries,NA,NA,NA,0.2,NA,NA,NA
