Example,CC_Community focused_Implemented,CC_Community focused_Not implemented,CC_Not community focused_Implemented,CC_Not community focused_Not implemented,N_Community focused_Implemented,N_Community focused_Not implemented,N_Not community focused_Implemented,N_Not community focused_Not implemented
Adaptation programs,0.12,NA,0.04,0.03,NA,NA,NA,NA
Community-based rights,NA,NA,NA,NA,0.05,NA,NA,NA
Coordination and organization,0.06,NA,NA,NA,0.1,0.11,NA,0.04
Disaster funds,NA,NA,0.04,NA,NA,NA,NA,NA
Diversify livelihoods,NA,0.12,NA,NA,0.07,0.11,0.05,NA
Dynamic ocean management,NA,NA,0.04,0.03,NA,NA,0.05,NA
Economic/community development,NA,NA,NA,NA,0.07,0.04,NA,NA
Education,0.12,NA,0.12,0.03,0.05,0.07,0.05,NA
Enforcement,0.06,0.12,0.08,0.15,0.1,0.21,0.17,0.14
"Financial assistance or investment for entering,",0.19,NA,NA,NA,NA,0.04,NA,NA
Financial assistance to help survive bad fishing years,NA,NA,NA,NA,NA,0.04,NA,NA
Financial assistance to help transition out of fishery,NA,NA,NA,NA,NA,0.04,NA,NA
Individual property rights,NA,NA,NA,NA,NA,NA,0.05,NA
Insurance,NA,NA,0.04,NA,NA,NA,NA,NA
International agreements,0.06,NA,NA,0.06,NA,NA,NA,NA
Investment in new gear or innovations,NA,0.35,0.04,0.06,0.07,NA,0.1,0.18
Investments to improve value chain,NA,NA,NA,0.03,0.17,0.07,0.07,0.04
Market diversification,0.06,0.24,NA,NA,NA,NA,NA,0.07
MPAs,0.06,NA,0.12,NA,0.05,NA,0.07,0.07
Reductions in other stressors,0.06,NA,0.12,0.05,0.05,NA,NA,0.07
Research,0.06,0.12,0.33,0.35,NA,0.18,0.12,0.36
Restoration,NA,NA,NA,NA,NA,NA,0.1,0.04
Review programs / regulations,NA,0.06,NA,0.07,NA,NA,NA,NA
