Example,CC_Community focused_Implemented,CC_Community focused_Not implemented,CC_Not community focused_Implemented,CC_Not community focused_Not implemented,N_Community focused_Implemented,N_Community focused_Not implemented,N_Not community focused_Implemented,N_Not community focused_Not implemented
Adaptation programs,0.13,0.07,0.06,0.05,NA,NA,NA,NA
Community-based rights,NA,NA,NA,NA,0.07,NA,NA,NA
Cooperatives,NA,NA,NA,NA,0.04,NA,NA,NA
Coordination and organization,0.07,0.2,NA,NA,0.17,0.25,0.01,NA
Disaster funds,NA,0.07,NA,NA,NA,NA,0.01,NA
Disaster risk management,NA,NA,0.03,NA,NA,NA,0.02,NA
Diversify livelihoods,NA,0.13,0.03,NA,NA,NA,NA,NA
Dynamic ocean management,NA,0.07,0.06,0.05,NA,NA,NA,NA
Economic/community development,NA,NA,NA,NA,NA,0.25,NA,NA
Education,0.07,0.07,NA,0.11,NA,NA,NA,NA
Enforcement,NA,0.07,0.06,0.11,0.07,0.25,0.36,0.38
"Financial assistance or investment for entering,",NA,0.07,NA,NA,0.15,0.25,NA,NA
Individual property rights,NA,NA,NA,NA,0.04,NA,NA,NA
Insurance,NA,NA,NA,0.05,NA,NA,NA,NA
International agreements,0.07,NA,NA,NA,NA,NA,0.04,NA
Investment in new gear or innovations,NA,NA,0.11,0.26,0.04,NA,0.09,NA
Investments to improve value chain,0.07,0.2,0.03,NA,NA,NA,NA,0.12
Market diversification,NA,NA,0.06,NA,NA,NA,NA,NA
MPAs,NA,NA,0.03,0.05,0.07,NA,0.03,NA
Reductions in other stressors,NA,NA,NA,0.05,NA,NA,NA,NA
Research,0.4,NA,0.49,0.11,0.13,NA,0.23,0.25
Review programs / regulations,0.2,0.07,NA,0.11,0.06,NA,0.1,0.25
Transition out of fisheries,NA,NA,NA,NA,NA,NA,0.08,NA
