Example,CC_Community focused_Implemented,CC_Community focused_Not implemented,CC_Not community focused_Implemented,CC_Not community focused_Not implemented,N_Community focused_Implemented,N_Not community focused_Implemented
Adaptation programs,NA,0.06,NA,NA,NA,NA
Community-based rights,NA,NA,NA,NA,0.06,0.3
Cooperatives,NA,0.06,NA,NA,0.12,0.3
Coordination and organization,NA,0.06,NA,0.33,NA,NA
Disaster risk management,NA,0.06,NA,NA,NA,NA
Diversify livelihoods,NA,0.06,NA,NA,0.06,NA
Dynamic ocean management,NA,NA,NA,NA,0.06,0.1
Economic/community development,NA,0.06,NA,NA,0.25,NA
Education,1,0.11,NA,0.33,0.12,NA
Financial assistance to help survive bad fishing years,NA,NA,NA,NA,0.06,NA
Individual property rights,NA,NA,0.5,NA,0.06,0.1
Investment in new gear or innovations,NA,0.11,NA,NA,NA,NA
Investments to improve value chain,NA,NA,NA,NA,NA,0.1
Market diversification,NA,NA,NA,NA,0.06,NA
Research,NA,0.11,0.5,0.33,0.06,0.1
Review programs / regulations,NA,0.11,NA,NA,NA,NA
