Example,CC_Community focused_Implemented,CC_Community focused_Not implemented,CC_Not community focused_Implemented,CC_Not community focused_Not implemented,N_Community focused_Implemented,N_Community focused_Not implemented
Community-based rights,0.33,NA,NA,0.25,0.11,NA
Cooperatives,NA,NA,NA,NA,0.11,NA
Coordination and organization,NA,0.5,NA,NA,0.11,0.5
Disaster funds,NA,NA,NA,NA,0.11,NA
Disaster risk management,NA,NA,NA,NA,0.11,NA
Education,NA,0.5,NA,NA,0.11,NA
Enforcement,NA,NA,NA,0.25,NA,0.5
International agreements,NA,NA,0.33,NA,NA,NA
MPAs,0.33,NA,NA,NA,0.11,NA
Reductions in other stressors,NA,NA,0.33,0.25,NA,NA
Research,NA,NA,0.33,NA,0.22,NA
Restoration,0.33,NA,NA,NA,NA,NA
Review programs / regulations,NA,NA,NA,0.25,NA,NA
