Example,CC_Community focused_Implemented,CC_Community focused_Not implemented,CC_Not community focused_Implemented,CC_Not community focused_Not implemented,N_Community focused_Implemented,N_Community focused_Not implemented,N_Not community focused_Implemented,N_Not community focused_Not implemented
Adaptation programs,NA,0.08,NA,NA,NA,NA,NA,NA
Community-based rights,NA,NA,NA,NA,0.04,NA,0.09,NA
Cooperatives,0.5,0.08,NA,NA,0.21,0.07,0.09,NA
Coordination and organization,NA,0.15,NA,0.04,0.04,0.15,NA,NA
Disaster risk management,NA,NA,NA,0.04,NA,0.04,NA,NA
Diversify livelihoods,0.25,0.23,NA,0.11,NA,0.07,NA,0.25
Dynamic ocean management,NA,NA,NA,NA,0.08,0.04,0.09,NA
Economic/community development,NA,0.08,NA,NA,0.17,0.11,NA,NA
Education,NA,0.15,NA,0.04,0.04,0.11,0.09,NA
"Financial assistance or investment for entering,",NA,NA,NA,NA,0.04,NA,NA,NA
Financial assistance to help survive bad fishing years,NA,NA,NA,NA,NA,NA,0.27,0.25
Financial assistance to help transition out of fishery,NA,NA,NA,NA,NA,NA,0.09,NA
Insurance,NA,NA,NA,0.04,NA,NA,NA,NA
Investment in new gear or innovations,0.25,0.08,NA,0.07,NA,NA,NA,0.5
Investments to improve value chain,NA,NA,NA,NA,0.08,NA,NA,NA
Market diversification,NA,NA,NA,NA,0.08,0.11,NA,NA
MPAs,NA,NA,NA,NA,NA,NA,0.09,NA
Permit/license/quota banks,NA,NA,NA,NA,0.12,NA,NA,NA
Reductions in other stressors,NA,NA,0.33,0.15,NA,NA,NA,NA
Research,NA,NA,0.67,0.15,NA,0.07,0.09,NA
Restoration,NA,NA,NA,0.19,NA,0.07,NA,NA
Review programs / regulations,NA,0.08,NA,0.11,NA,NA,NA,NA
Transition out of fisheries,NA,0.08,NA,NA,NA,NA,0.09,NA
