Example,CC_Community focused_Implemented,CC_Community focused_Not implemented,CC_Not community focused_Implemented,CC_Not community focused_Not implemented,N_Community focused_Implemented,N_Community focused_Not implemented,N_Not community focused_Implemented,N_Not community focused_Not implemented
Adaptation programs,NA,0.17,NA,NA,NA,NA,NA,NA
Cooperatives,NA,NA,NA,NA,0.2,NA,NA,0.11
Coordination and organization,NA,0.17,NA,0.07,NA,0.18,NA,0.22
Diversify livelihoods,NA,0.08,0.1,NA,0.2,0.09,NA,NA
Dynamic ocean management,NA,0.08,0.1,0.07,NA,NA,NA,NA
Economic/community development,NA,NA,NA,NA,0.2,0.09,NA,NA
Education,0.4,0.17,0.1,0.04,NA,0.09,NA,0.11
Enforcement,0.2,NA,NA,0.04,NA,NA,NA,NA
"Financial assistance or investment for entering,",NA,NA,NA,NA,NA,0.09,NA,NA
Financial assistance to help survive bad fishing years,NA,NA,NA,NA,NA,NA,0.17,NA
Financial assistance to help transition out of fishery,NA,NA,NA,NA,NA,0.09,0.08,NA
Individual property rights,NA,NA,NA,NA,NA,NA,0.08,NA
International agreements,NA,NA,NA,NA,NA,NA,NA,0.11
Investment in new gear or innovations,NA,0.08,NA,0.07,NA,0.09,NA,NA
Investments to improve value chain,0.2,NA,0.1,NA,NA,0.09,0.08,NA
Market diversification,NA,0.08,NA,NA,0.4,NA,NA,NA
MPAs,NA,NA,0.1,0.11,NA,NA,NA,0.11
Reductions in other stressors,NA,NA,0.2,0.11,NA,NA,NA,0.11
Research,NA,0.08,0.1,0.19,NA,NA,0.25,0.11
Restoration,0.2,NA,0.2,0.11,NA,0.09,0.25,0.11
Review programs / regulations,NA,0.08,NA,0.15,NA,0.09,NA,NA
Transition out of fisheries,NA,NA,NA,NA,NA,NA,0.08,NA
