Example,CC_Community focused_Implemented,CC_Community focused_Not implemented,CC_Not community focused_Implemented,CC_Not community focused_Not implemented,N_Community focused_Implemented,N_Community focused_Not implemented,N_Not community focused_Implemented,N_Not community focused_Not implemented
Adaptation programs,0.46,NA,0.11,NA,NA,NA,NA,NA
Community-based rights,NA,NA,NA,NA,0.09,0.06,NA,NA
Cooperatives,0.08,0.09,NA,NA,NA,NA,NA,NA
Coordination and organization,0.08,NA,0.05,0.1,NA,0.12,NA,0.43
Disaster funds,NA,NA,NA,NA,NA,NA,0.25,NA
Disaster risk management,NA,0.09,NA,NA,NA,NA,0.25,NA
Diversify livelihoods,0.15,0.18,NA,0.04,0.18,0.06,NA,NA
Dynamic ocean management,NA,0.09,0.05,NA,NA,NA,NA,NA
Economic/community development,NA,NA,NA,NA,0.09,0.18,NA,NA
Education,0.08,NA,0.11,0.1,NA,0.06,NA,NA
Fair trade laws,NA,NA,NA,NA,0.05,NA,NA,NA
"Financial assistance or investment for entering,",NA,NA,NA,NA,0.09,0.06,NA,NA
Financial assistance to help survive bad fishing years,NA,NA,NA,NA,NA,0.06,NA,NA
Financial assistance to help transition out of fishery,NA,0.09,NA,NA,NA,0.06,NA,NA
Insurance,NA,NA,NA,NA,NA,NA,NA,0.14
International agreements,NA,NA,0.05,0.04,NA,NA,NA,NA
Investment in new gear or innovations,NA,NA,0.05,NA,NA,0.06,0.25,NA
Investments to improve value chain,NA,NA,NA,NA,0.18,NA,NA,0.14
Market diversification,NA,0.09,NA,NA,0.09,NA,NA,0.29
MPAs,NA,NA,0.21,0.14,NA,NA,NA,NA
Permit/license/quota banks,NA,NA,NA,NA,0.05,NA,NA,NA
Reductions in other stressors,NA,0.09,0.05,0.13,0.05,NA,NA,NA
Research,0.15,0.18,0.16,0.14,0.05,NA,NA,NA
Restoration,NA,0.09,0.16,0.08,NA,NA,NA,NA
Review programs / regulations,NA,NA,NA,0.1,NA,0.12,NA,NA
Transition out of fisheries,NA,NA,NA,0.04,NA,NA,0.25,NA
