Context,Example,Implemented,Internat.,Nat. govt.,Region. govt.,Local govt.,NGO,Uni.,Community assoc.,Business coop.,Business,Individual,all,id,Prop_top,Prop_bottom,Prop_NGO,Prop_ind
CC,Disaster funds,N,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0
CC,Disaster funds,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N,Disaster funds,Y,0,1,1,0,0,0,0,0,0,0,2,1,1,0,0,0
CC,Fair trade laws,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N,Fair trade laws,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CC,Individual property rights,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CC,Individual property rights,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N,Individual property rights,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N,Individual property rights,Y,0,1,1,0,0,0,1,0,1,0,4,NA,0.5,0.25,0,0.25
CC,International agreements,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CC,International agreements,Y,1,0,0,0,0,0,0,0,0,0,1,5,1,0,0,0
N,International agreements,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N,International agreements,Y,3,0,0,0,1,1,2,0,1,1,9,5,0.3333333333333333,0.2222222222222222,0.2222222222222222,0.2222222222222222
CC,Permit/license/quota banks,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N,Permit/license/quota banks,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N,Permit/license/quota banks,Y,0,0,1,0,0,0,0,0,0,0,1,NA,1,0,0,0
CC,MPAs,N,0,1,1,0,0,0,0,0,0,0,2,6,1,0,0,0
CC,MPAs,Y,0,1,1,0,0,0,0,0,0,0,2,6,1,0,0,0
N,MPAs,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N,MPAs,Y,0,4,3,0,0,0,0,0,0,0,7,6,1,0,0,0
CC,Enforcement,N,0,1,3,0,0,0,0,0,0,0,4,3,1,0,0,0
CC,Enforcement,Y,0,0,1,0,0,0,0,0,0,0,1,3,1,0,0,0
N,Enforcement,N,0,2,3,0,0,0,0,0,1,0,6,3,0.8333333333333334,0,0,0.16666666666666666
N,Enforcement,Y,6,33,15,0,0,0,0,0,1,0,55,3,0.9818181818181818,0,0,0.01818181818181818
CC,"Financial assistance or investment for entering, transferring, or restructuring fishing businesses",N,0,1,1,0,0,0,0,0,0,0,2,4,1,0,0,0
CC,"Financial assistance or investment for entering, transferring, or restructuring fishing businesses",Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N,"Financial assistance or investment for entering, transferring, or restructuring fishing businesses",N,0,0,1,0,0,0,0,0,1,0,2,4,0.5,0,0,0.5
N,"Financial assistance or investment for entering, transferring, or restructuring fishing businesses",Y,0,8,3,0,0,0,0,0,0,0,11,4,1,0,0,0
CC,Reductions in other stressors,N,0,1,1,0,0,0,0,0,0,0,2,9,1,0,0,0
CC,Reductions in other stressors,Y,0,1,1,0,0,1,0,0,0,0,3,9,0.6666666666666666,0,0.3333333333333333,0
N,Reductions in other stressors,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N,Reductions in other stressors,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CC,Review programs / regulations,N,0,2,2,0,0,0,0,0,0,0,4,8,1,0,0,0
CC,Review programs / regulations,Y,0,1,0,0,0,0,1,0,0,0,2,8,0.5,0.5,0,0
N,Review programs / regulations,N,0,1,0,0,0,0,0,0,0,0,1,8,1,0,0,0
N,Review programs / regulations,Y,1,11,5,0,0,0,1,0,1,1,20,8,0.85,0.05,0,0.1
CC,Dynamic ocean management,N,0,1,2,0,0,0,0,0,0,0,3,2,1,0,0,0
CC,Dynamic ocean management,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N,Dynamic ocean management,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N,Dynamic ocean management,Y,0,0,1,0,0,0,0,0,0,0,1,2,1,0,0,0
CC,Restoration,N,0,1,1,0,0,0,0,0,0,0,2,7,1,0,0,0
CC,Restoration,Y,0,1,1,0,0,0,0,0,0,0,2,7,1,0,0,0
N,Restoration,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N,Restoration,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CC,Disaster risk management,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CC,Disaster risk management,Y,0,0,1,0,1,0,0,0,1,0,3,14,0.3333333333333333,0,0.3333333333333333,0.3333333333333333
N,Disaster risk management,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N,Disaster risk management,Y,0,1,2,0,0,0,0,0,0,0,3,14,1,0,0,0
CC,Financial assistance to help transition out of fishery,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N,Financial assistance to help transition out of fishery,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N,Financial assistance to help transition out of fishery,Y,0,0,1,0,0,0,0,0,0,0,1,NA,1,0,0,0
CC,Education,N,0,2,2,1,0,1,1,0,1,0,8,13,0.5,0.25,0.125,0.125
CC,Education,Y,0,1,0,0,0,1,0,0,0,0,2,13,0.5,0,0.5,0
N,Education,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N,Education,Y,0,1,1,0,0,0,0,0,0,0,2,13,1,0,0,0
CC,Adaptation programs,N,0,1,1,0,0,0,0,0,1,1,4,12,0.5,0,0,0.5
CC,Adaptation programs,Y,0,4,1,1,0,0,1,1,1,0,9,12,0.5555555555555556,0.3333333333333333,0,0.1111111111111111
N,Adaptation programs,Y,0,0,0,0,0,0,0,0,1,0,1,12,0,0,0,1
CC,Research,N,0,2,0,0,0,1,0,0,0,0,3,11,0.6666666666666666,0,0.3333333333333333,0
CC,Research,Y,0,17,7,0,0,15,0,0,1,1,41,11,0.5853658536585366,0,0.36585365853658536,0.04878048780487805
N,Research,N,0,1,1,0,0,0,0,0,0,0,2,11,1,0,0,0
N,Research,Y,1,23,16,0,0,5,1,0,7,0,53,11,0.7547169811320755,0.018867924528301886,0.09433962264150944,0.1320754716981132
CC,Coordination and organization,N,0,2,1,0,0,0,1,0,1,0,5,10,0.6,0.2,0,0.2
CC,Coordination and organization,Y,0,1,1,0,0,0,1,0,0,0,3,10,0.6666666666666666,0.3333333333333333,0,0
N,Coordination and organization,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N,Coordination and organization,Y,0,4,5,0,1,2,4,0,4,2,22,10,0.4090909090909091,0.18181818181818182,0.13636363636363635,0.2727272727272727
CC,Market diversification,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CC,Market diversification,Y,0,0,0,0,0,0,0,0,2,0,2,19,0,0,0,1
N,Market diversification,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N,Market diversification,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CC,Transition out of fisheries,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CC,Transition out of fisheries,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N,Transition out of fisheries,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N,Transition out of fisheries,Y,2,6,4,0,0,0,0,0,1,0,13,NA,0.9230769230769231,0,0,0.07692307692307693
CC,Economic/community development,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N,Economic/community development,N,0,0,0,0,0,0,1,0,1,0,2,NA,0,0.5,0,0.5
N,Economic/community development,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CC,Insurance,N,0,0,0,0,0,0,0,0,1,0,1,18,0,0,0,1
CC,Insurance,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N,Insurance,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N,Insurance,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CC,Investments to improve value chain,N,0,1,0,0,0,0,0,1,3,0,5,15,0.2,0.2,0,0.6
CC,Investments to improve value chain,Y,0,0,1,0,0,0,0,0,1,0,2,15,0.5,0,0,0.5
N,Investments to improve value chain,N,0,0,0,0,0,0,0,1,1,0,2,15,0,0.5,0,0.5
N,Investments to improve value chain,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CC,Cooperatives,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CC,Cooperatives,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
