Context,Example,Implemented,Internat.,Nat. govt.,Region. govt.,Local govt.,NGO,Uni.,Community assoc.,Business coop.,Business,Individual,all,id,Prop_top,Prop_bottom,Prop_NGO,Prop_ind
CC,Disaster funds,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CC,Disaster funds,Y,0,1,1,0,0,0,0,0,0,0,2,2,1,0,0,0
N,Disaster funds,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CC,Fair trade laws,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N,Fair trade laws,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CC,Individual property rights,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CC,Individual property rights,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N,Individual property rights,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N,Individual property rights,Y,1,1,0,0,0,0,0,0,0,0,2,NA,1,0,0,0
CC,International agreements,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CC,International agreements,Y,1,1,0,0,0,0,0,0,0,0,2,6,1,0,0,0
N,International agreements,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N,International agreements,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CC,Permit/license/quota banks,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N,Permit/license/quota banks,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N,Permit/license/quota banks,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CC,MPAs,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CC,MPAs,Y,0,1,1,1,0,0,0,0,0,0,3,15,0.6666666666666666,0.3333333333333333,0,0
N,MPAs,N,0,1,0,0,0,0,0,0,0,0,1,15,1,0,0,0
N,MPAs,Y,0,4,2,0,0,0,1,0,0,0,7,15,0.8571428571428571,0.14285714285714285,0,0
CC,Enforcement,N,0,1,0,0,0,0,0,0,0,0,1,4,1,0,0,0
CC,Enforcement,Y,0,1,0,0,0,0,0,0,0,0,1,4,1,0,0,0
N,Enforcement,N,3,5,0,2,0,0,1,0,0,0,11,4,0.7272727272727273,0.2727272727272727,0,0
N,Enforcement,Y,2,7,2,1,0,0,2,1,0,0,15,4,0.7333333333333333,0.26666666666666666,0,0
CC,"Financial assistance or investment for entering, transferring, or restructuring fishing businesses",N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CC,"Financial assistance or investment for entering, transferring, or restructuring fishing businesses",Y,1,2,1,1,0,0,0,0,0,0,5,12,0.8,0.2,0,0
N,"Financial assistance or investment for entering, transferring, or restructuring fishing businesses",N,0,1,0,0,0,0,0,0,0,0,1,12,1,0,0,0
N,"Financial assistance or investment for entering, transferring, or restructuring fishing businesses",Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CC,Reductions in other stressors,N,0,2,1,0,0,0,0,0,0,0,3,9,1,0,0,0
CC,Reductions in other stressors,Y,1,2,2,0,0,0,0,0,0,0,5,9,1,0,0,0
N,Reductions in other stressors,N,1,1,0,0,0,0,0,0,0,0,2,9,1,0,0,0
N,Reductions in other stressors,Y,0,0,0,1,0,0,1,0,0,0,2,9,0,1,0,0
CC,Review programs / regulations,N,0,1,1,0,0,0,0,0,0,0,2,11,1,0,0,0
CC,Review programs / regulations,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N,Review programs / regulations,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N,Review programs / regulations,Y,0,2,1,0,0,0,1,0,0,0,4,11,0.75,0.25,0,0
CC,Dynamic ocean management,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CC,Dynamic ocean management,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N,Dynamic ocean management,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N,Dynamic ocean management,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CC,Restoration,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CC,Restoration,Y,0,1,0,0,0,0,0,0,0,0,1,10,1,0,0,0
N,Restoration,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N,Restoration,Y,0,1,1,0,0,0,0,0,0,0,2,10,1,0,0,0
CC,Disaster risk management,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CC,Disaster risk management,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N,Disaster risk management,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N,Disaster risk management,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CC,Financial assistance to help transition out of fishery,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N,Financial assistance to help transition out of fishery,N,0,1,0,0,0,0,0,0,0,0,1,NA,1,0,0,0
N,Financial assistance to help transition out of fishery,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CC,Education,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CC,Education,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N,Education,N,0,1,0,0,0,0,1,1,0,0,3,NA,0.3333333333333333,0.6666666666666666,0,0
N,Education,Y,1,2,1,1,1,0,2,0,0,0,8,NA,0.5,0.375,0.125,0
CC,Adaptation programs,N,1,2,1,1,0,1,0,0,0,0,6,13,0.6666666666666666,0.16666666666666666,0.16666666666666666,0
CC,Adaptation programs,Y,1,1,1,0,0,0,0,0,0,0,3,13,1,0,0,0
N,Adaptation programs,Y,0,1,1,0,0,0,1,0,0,0,3,13,0.6666666666666666,0.3333333333333333,0,0
CC,Research,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CC,Research,Y,1,1,0,0,0,0,0,0,0,0,2,16,1,0,0,0
