Example,Context,Implemented,Proportion Top-down,Proportion Bottom-up,Proportion NGO,Proportion Individual
Adaptation programs,CC,N,NA,NA,NA,NA
Adaptation programs,CC,Y,NA,NA,NA,NA
Adaptation programs,N,N,NA,NA,NA,NA
Adaptation programs,N,Y,NA,NA,NA,NA
Community-based rights,CC,N,NA,NA,NA,NA
Community-based rights,CC,Y,NA,NA,NA,NA
Community-based rights,N,N,NA,NA,NA,NA
Community-based rights,N,Y,NA,NA,NA,NA
Cooperatives,CC,N,NA,NA,NA,NA
Cooperatives,CC,Y,0,0.5,0,0.5
Cooperatives,N,N,NA,NA,NA,NA
Cooperatives,N,Y,NA,NA,NA,NA
Coordination and organization,CC,N,0.25,0.5,0,0.25
Coordination and organization,CC,Y,0.667,0.333,0,0
Coordination and organization,N,N,NA,NA,NA,NA
Coordination and organization,N,Y,NA,NA,NA,NA
Disaster funds,CC,N,NA,NA,NA,NA
Disaster funds,CC,Y,NA,NA,NA,NA
Disaster funds,N,Y,NA,NA,NA,NA
Disaster risk management,CC,N,NA,NA,NA,NA
Disaster risk management,CC,Y,NA,NA,NA,NA
Disaster risk management,N,N,NA,NA,NA,NA
Disaster risk management,N,Y,NA,NA,NA,NA
Diversify livelihoods,CC,N,NA,NA,NA,NA
Diversify livelihoods,CC,Y,0,0,0,1
Diversify livelihoods,N,N,NA,NA,NA,NA
Diversify livelihoods,N,Y,NA,NA,NA,NA
Dynamic ocean management,CC,N,NA,NA,NA,NA
Dynamic ocean management,CC,Y,1,0,0,0
Dynamic ocean management,N,N,NA,NA,NA,NA
Dynamic ocean management,N,Y,NA,NA,NA,NA
Economic/community development,CC,N,NA,NA,NA,NA
Economic/community development,N,N,NA,NA,NA,NA
Economic/community development,N,Y,0,0,0,1
Education,CC,N,1,0,0,0
Education,CC,Y,0,1,0,0
Education,N,N,NA,NA,NA,NA
Education,N,Y,NA,NA,NA,NA
Enforcement,CC,N,NA,NA,NA,NA
Enforcement,CC,Y,NA,NA,NA,NA
Enforcement,N,N,NA,NA,NA,NA
Enforcement,N,Y,NA,NA,NA,NA
Fair trade laws,CC,N,NA,NA,NA,NA
Fair trade laws,N,Y,NA,NA,NA,NA
"Financial assistance or investment for entering, transferring, or restructuring fishing businesses",CC,N,1,0,0,0
"Financial assistance or investment for entering, transferring, or restructuring fishing businesses",CC,Y,NA,NA,NA,NA
"Financial assistance or investment for entering, transferring, or restructuring fishing businesses",N,N,NA,NA,NA,NA
"Financial assistance or investment for entering, transferring, or restructuring fishing businesses",N,Y,NA,NA,NA,NA
Financial assistance to help survive bad fishing years,CC,N,NA,NA,NA,NA
Financial assistance to help survive bad fishing years,N,N,NA,NA,NA,NA
Financial assistance to help survive bad fishing years,N,Y,NA,NA,NA,NA
Financial assistance to help transition out of fishery,CC,N,NA,NA,NA,NA
Financial assistance to help transition out of fishery,N,N,NA,NA,NA,NA
Financial assistance to help transition out of fishery,N,Y,NA,NA,NA,NA
Individual property rights,CC,N,NA,NA,NA,NA
Individual property rights,CC,Y,NA,NA,NA,NA
Individual property rights,N,N,NA,NA,NA,NA
Individual property rights,N,Y,1,0,0,0
Insurance,CC,N,NA,NA,NA,NA
Insurance,CC,Y,NA,NA,NA,NA
Insurance,N,N,NA,NA,NA,NA
Insurance,N,Y,NA,NA,NA,NA
International agreements,CC,N,NA,NA,NA,NA
International agreements,CC,Y,NA,NA,NA,NA
International agreements,N,N,NA,NA,NA,NA
International agreements,N,Y,NA,NA,NA,NA
Investment in new gear or innovations,CC,N,NA,NA,NA,NA
Investment in new gear or innovations,CC,Y,0,0.333,0,0.667
Investment in new gear or innovations,N,N,NA,NA,NA,NA
Investment in new gear or innovations,N,Y,NA,NA,NA,NA
Investments to improve value chain,CC,N,NA,NA,NA,NA
Investments to improve value chain,CC,Y,NA,NA,NA,NA
Investments to improve value chain,N,N,NA,NA,NA,NA
Investments to improve value chain,N,Y,NA,NA,NA,NA
Market diversification,CC,N,NA,NA,NA,NA
Market diversification,CC,Y,NA,NA,NA,NA
Market diversification,N,N,NA,NA,NA,NA
Market diversification,N,Y,0,0,0,1
MPAs,CC,N,0.333,0.333,0,0.333
MPAs,CC,Y,NA,NA,NA,NA
MPAs,N,N,NA,NA,NA,NA
MPAs,N,Y,NA,NA,NA,NA
Permit/license/quota banks,CC,Y,NA,NA,NA,NA
Permit/license/quota banks,N,N,NA,NA,NA,NA
Permit/license/quota banks,N,Y,NA,NA,NA,NA
Reductions in other stressors,CC,N,NA,NA,NA,NA
Reductions in other stressors,CC,Y,NA,NA,NA,NA
Reductions in other stressors,N,N,NA,NA,NA,NA
Reductions in other stressors,N,Y,NA,NA,NA,NA
Research,CC,N,NA,NA,NA,NA
Research,CC,Y,0.5,0.5,0,0
Research,N,N,NA,NA,NA,NA
Research,N,Y,NA,NA,NA,NA
Restoration,CC,N,0.333,0.333,0,0.333
Restoration,CC,Y,NA,NA,NA,NA
Restoration,N,N,NA,NA,NA,NA
Restoration,N,Y,NA,NA,NA,NA
Review programs / regulations,CC,N,1,0,0,0
Review programs / regulations,CC,Y,NA,NA,NA,NA
Review programs / regulations,N,N,NA,NA,NA,NA
Review programs / regulations,N,Y,NA,NA,NA,NA
Transition out of fisheries,CC,N,0,0,0,1
Transition out of fisheries,CC,Y,0,0.5,0,0.5
Transition out of fisheries,N,N,NA,NA,NA,NA
Transition out of fisheries,N,Y,NA,NA,NA,NA
