Example,Context,Implemented,Proportion Top-down,Proportion Bottom-up,Proportion NGO,Proportion Individual
Adaptation programs,CC,N,NA,NA,NA,NA
Adaptation programs,CC,Y,0.667,0.267,0.067,0
Adaptation programs,N,Y,NA,NA,NA,NA
Community-based rights,CC,N,NA,NA,NA,NA
Community-based rights,CC,Y,NA,NA,NA,NA
Community-based rights,N,N,0.5,0.25,0.25,0
Community-based rights,N,Y,0.333,0.333,0.333,0
Cooperatives,CC,N,0.5,0.333,0.167,0
Cooperatives,CC,Y,0.5,0.5,0,0
Cooperatives,N,N,NA,NA,NA,NA
Cooperatives,N,Y,NA,NA,NA,NA
Coordination and organization,CC,N,0.789,0.158,0.053,0
Coordination and organization,CC,Y,1,0,0,0
Coordination and organization,N,N,0.333,0.333,0.167,0.167
Coordination and organization,N,Y,NA,NA,NA,NA
Disaster funds,CC,N,NA,NA,NA,NA
Disaster funds,CC,Y,NA,NA,NA,NA
Disaster funds,N,Y,1,0,0,0
Disaster risk management,CC,N,1,0,0,0
Disaster risk management,CC,Y,NA,NA,NA,NA
Disaster risk management,N,N,NA,NA,NA,NA
Disaster risk management,N,Y,1,0,0,0
Diversify livelihoods,CC,N,0.571,0,0,0.429
Diversify livelihoods,CC,Y,1,0,0,0
Diversify livelihoods,N,N,1,0,0,0
Diversify livelihoods,N,Y,0.167,0.167,0.167,0.5
Dynamic ocean management,CC,N,0.667,0.167,0.167,0
Dynamic ocean management,CC,Y,1,0,0,0
Dynamic ocean management,N,N,NA,NA,NA,NA
Dynamic ocean management,N,Y,NA,NA,NA,NA
Economic/community development,CC,N,NA,NA,NA,NA
Economic/community development,N,N,0.75,0.125,0.125,0
Economic/community development,N,Y,0,0.5,0.5,0
Education,CC,N,0.833,0.111,0.056,0
Education,CC,Y,1,0,0,0
Education,N,N,1,0,0,0
Education,N,Y,NA,NA,NA,NA
Enforcement,CC,N,NA,NA,NA,NA
Enforcement,CC,Y,NA,NA,NA,NA
Enforcement,N,N,NA,NA,NA,NA
Enforcement,N,Y,NA,NA,NA,NA
Fair trade laws,CC,N,NA,NA,NA,NA
Fair trade laws,N,Y,1,0,0,0
"Financial assistance or investment for entering, transferring, or restructuring fishing businesses",CC,N,NA,NA,NA,NA
"Financial assistance or investment for entering, transferring, or restructuring fishing businesses",CC,Y,NA,NA,NA,NA
"Financial assistance or investment for entering, transferring, or restructuring fishing businesses",N,N,1,0,0,0
"Financial assistance or investment for entering, transferring, or restructuring fishing businesses",N,Y,0.333,0.333,0.333,0
Financial assistance to help survive bad fishing years,CC,N,NA,NA,NA,NA
Financial assistance to help survive bad fishing years,N,N,1,0,0,0
Financial assistance to help survive bad fishing years,N,Y,NA,NA,NA,NA
Financial assistance to help transition out of fishery,CC,N,1,0,0,0
Financial assistance to help transition out of fishery,N,N,1,0,0,0
Financial assistance to help transition out of fishery,N,Y,NA,NA,NA,NA
Individual property rights,CC,N,NA,NA,NA,NA
Individual property rights,CC,Y,NA,NA,NA,NA
Individual property rights,N,N,NA,NA,NA,NA
Individual property rights,N,Y,NA,NA,NA,NA
Insurance,CC,N,0,0,0,1
Insurance,CC,Y,NA,NA,NA,NA
Insurance,N,N,1,0,0,0
Insurance,N,Y,NA,NA,NA,NA
International agreements,CC,N,1,0,0,0
International agreements,CC,Y,1,0,0,0
International agreements,N,N,NA,NA,NA,NA
International agreements,N,Y,NA,NA,NA,NA
Investment in new gear or innovations,CC,N,0.667,0,0,0.333
Investment in new gear or innovations,CC,Y,0,0,0,1
Investment in new gear or innovations,N,N,1,0,0,0
Investment in new gear or innovations,N,Y,0.25,0,0.5,0.25
Investments to improve value chain,CC,N,NA,NA,NA,NA
Investments to improve value chain,CC,Y,NA,NA,NA,NA
Investments to improve value chain,N,N,0.667,0,0.333,0
Investments to improve value chain,N,Y,0,0,0.4,0.6
Market diversification,CC,N,0.667,0.167,0.167,0
Market diversification,CC,Y,NA,NA,NA,NA
Market diversification,N,N,0,0,0.5,0.5
Market diversification,N,Y,0,0,0.333,0.667
MPAs,CC,N,0.909,0.045,0.045,0
MPAs,CC,Y,1,0,0,0
MPAs,N,N,NA,NA,NA,NA
MPAs,N,Y,NA,NA,NA,NA
Permit/license/quota banks,CC,Y,NA,NA,NA,NA
Permit/license/quota banks,N,N,NA,NA,NA,NA
Permit/license/quota banks,N,Y,0,0.5,0.5,0
Reductions in other stressors,CC,N,0.8,0.12,0.08,0
Reductions in other stressors,CC,Y,1,0,0,0
Reductions in other stressors,N,N,NA,NA,NA,NA
Reductions in other stressors,N,Y,1,0,0,0
Research,CC,N,0.846,0.077,0.038,0.038
Research,CC,Y,1,0,0,0
Research,N,N,1,0,0,0
Research,N,Y,1,0,0,0
Restoration,CC,N,0.824,0.118,0.059,0
Restoration,CC,Y,0.75,0.25,0,0
Restoration,N,N,NA,NA,NA,NA
Restoration,N,Y,NaN,NaN,NaN,NaN
Review programs / regulations,CC,N,0.833,0.111,0.056,0
Review programs / regulations,CC,Y,NA,NA,NA,NA
Review programs / regulations,N,N,1,0,0,0
Review programs / regulations,N,Y,NA,NA,NA,NA
Transition out of fisheries,CC,N,0.8,0,0,0.2
Transition out of fisheries,CC,Y,NA,NA,NA,NA
Transition out of fisheries,N,N,1,0,0,0
Transition out of fisheries,N,Y,0.5,0,0,0.5
